State,Abbreviation,SampleVideo
Alabama,AL,https://www.youtube.com/watch?v=QvUVg8EgxR0&list=PLBBB7DC988152573C&index=2
Alaska,AK,https://www.youtube.com/watch?v=NVR9BKoTgyo
Arizona,AZ,https://www.youtube.com/watch?v=zJ3k8RSsfqA
Arkansas,AR,https://www.youtube.com/watch?v=uiTrXnd3AFk
California,CA,https://www.youtube.com/watch?v=TRtoj3RdLWs
Colorado,CO,
Connecticut,CT,https://www.youtube.com/watch?v=DpgyDeismQc
Delaware,DE,
District of Columbia,DC,https://www.youtube.com/watch?v=vH5cWjGNYQk
Florida,FL,
Georgia,GA,https://www.youtube.com/watch?v=QlyTDrd0zYY
Hawaii,HI,
Idaho,ID,https://www.youtube.com/watch?v=vhdk0wKqC-Q
Illinois,IL,
Indiana,IN,https://www.youtube.com/watch?v=EDz1ppZnbao
Iowa,IA,https://www.youtube.com/watch?v=0koiGTzw-nw&list=PLocplddh5SSTlPB0WybscbP-wpD09dJnt&index=1
Kansas,KS,https://www.youtube.com/watch?v=lc3ftPKKGHY
Kentucky,KY,https://www.youtube.com/watch?app=desktop&v=jIoB_wC-U40
Louisiana,LA,https://www.youtube.com/watch?v=RXgJ5H78kko
Maine,ME,
Montana,MT,https://www.youtube.com/watch?v=MVm93N5VN88
Nebraska,NE,https://www.youtube.com/watch?v=25IufoA_2GE&list=PLNK0HhYMn1wmx-16iJz4XPgg7H0-YWHTt&index=1
Nevada,NV,https://www.youtube.com/watch?v=dV5FhXzyHLo
New Hampshire,NH,https://www.youtube.com/watch?v=zqbaUvgyydM
New Jersey,NJ,https://www.youtube.com/watch?app=desktop&v=1F7HLq7hIHA
New Mexico,NM,https://www.youtube.com/watch?app=desktop&v=86-HRkXhqYc
New York,NY,
North Carolina,NC,https://www.youtube.com/watch?v=6k3lq_gSCbk
North Dakota,ND,
Ohio,OH,
Oklahoma,OK,https://www.youtube.com/watch?v=nz3eJJ6HHik
Oregon,OR,https://www.youtube.com/watch?v=D-xi2xHUlCg
Maryland,MD,https://www.youtube.com/watch?v=zRmawYsLE4w
Massachusetts,MA,
Michigan,MI,https://www.youtube.com/watch?v=YPEc_uWCwU4
Minnesota,MN,
Mississippi,MS,https://www.youtube.com/watch?app=desktop&v=dO9P8eufMPY
Missouri,MO,
Pennsylvania,PA,https://www.youtube.com/watch?v=zc0zeW7haa0
Rhode Island,RI,
South Carolina,SC,https://www.youtube.com/watch?v=NhqjaxSxqqU
South Dakota,SD,
Tennessee,TN,https://www.youtube.com/watch?v=nkp3SHk6PQw
Texas,TX,
Utah,UT,
Vermont,VT,https://www.youtube.com/watch?v=_upca-YTIrY
Virginia,VA,https://www.youtube.com/watch?v=dt4yLkXh0TA
Washington,WA,
West Virginia,WV,
Wisconsin,WI,
Wyoming,WY,
